homophone_1;homophone_2
аш;аж
араб;арап
аркан;оркан
бабах;бобах
баг;бак
Баку;боку
бас;баз
балл;бал
бард;Барт
бачка;бочка
башка;божка
бедняг;бедняк
без;бес
Битца;биться
блок;блог
болид;болит
бос;босс
браться;братца
будем;будим
ваз;вас
введу;ввиду
ведение;видение
вит;вид
венца;винца
весело;весило
вещ;вещь
владелец;владелиц
влетая;влитая
водиться;водица
Воронеж;воронишь
враг;врак
выезд;выест
вызвали;вызволи
выкрашу;выкрошу
выпиваем;выпеваем
гадка;годка
гадь;гать
газ;гас
гладка;глотка
глажка;Глашка
глаз;глас
год;гот
гостинец;гостиниц
грипп;гриб
груздь;грусть
Даш;дашь
дивится;девица
дожевал;доживал
доливая;долевая
дужка;душка
желая;жилая
заезд;заест
залезал;зализал
занос;заноз
застегаем;застигаем
зонд;зонт
Иж;ишь
йод;йот
калаш;коллаж
калек;коллег
компания;кампания
канадка;канатка
касатка;косатка
кличь;клич
код;кот
колон;колонн
корт;корд
корится;корица
косится;косица
крап;краб
красавец;красавиц
куб;куп
курится;курица
лак;лаг
лад;лат
лес;лез
лежи;лижи
лепет;лепит
летая;литая
лис;Лиз
лёд;лёт
лёжка;Лёшка
лик;лиг
литься;лица
ложка;лошка
лук;луг
лют;люд
ляжка;ляшка
маг;мак
мажь;Маш
масс;маз
маляр;моляр
мастериться;мастерица
мастит;мостит
медка;метка
меть;медь
мела;мила
метал;металл
мима;мимо
мок;мог
молодится;молодица
мод;мот
мокрится;мокрица
молот;молод
нага;нога
наезд;наест
нажевал;наживал
наживая;ножевая
налетая;налитая
наружка;норушка
немало;нимало
обед;обет
обид;обит
обить;обидь
обличу;облечу
общак;общаг
объезд;объест
ожёг;ожог
острого;острова
отвари;отвори
паб;пап
падёж;падёшь
паж;Паш
пасс;пас
палится;палица
пали;поли
Париж;паришь
порог;порок
пастись;постись
пасут;посуд
передавая;передовая
переезд;переест
переживал;пережевал
переносится;переносица
перепела;перепила
песец;писец
писчий;пищей
плачь;плач
плод;плот
плющь;плющ
пот;под
поливая;полевая
полог;полок
порошка;порожка
посвети;посвяти
пращу;прощу
пребываем;прибываем
примеряем;примиряем
продаж;продашь
прок;прог
пруд;прут
пядь;пять
раз;рас
ражу;рожу
рана;рано
рог;рок
рожь;рож
роз;рос
сама;сома
серб;серп
сеч;сечь
скоб;скоп
сноб;сноп
сов;соф
сосуд;сосут
спится;спица
ссуд;ссут
стог;сток
стойка;стойко
строг;строк
сум;сумм
съезд;съест
счета;щита
тайна;тайно
ток;тог
Толька;только
тон;тонн
трое;Троя
тромб;тромп
труд;трут
туз;тус
тупиться;тупица
тушь;туш
труп;трупп
труп;труб
увести;увезти
уезд;уест
уличу;улечу
умелец;умелиц
ус;уз
умалять;умолять
чад;чат
частота;чистота
чудь;чуть
шабашь;шабаш
юг;юкк
