Word;PoS;Category;NOUN;VERB;Numbers;PRON;ADV;ADJ
абрикос;NOUN;Fruits;абрикос;анализировать;восемнадцать;ваш;абсолютно;аварийный
абсолютно;ADV;;август;баловать;восемь;ваша;аккуратно;агрономический
аварийный;ADJ;;авокадо;бегать;восемьдесят;ваше;актуально;азиатский
август;NOUN;;австралиец;бежать;восемьсот;ваши;аполитично;аккуратный
авокадо;NOUN;Fruits;австралийка;бездельничать;восьмой;весь;бегом;активный
австралиец;NOUN;Nationality;Австралия;беречь;второй;все;бедно;американский
австралийка;NOUN;Nationality;австриец;беспокоить;два;всё;безусловно;английский
Австралия;NOUN;Countries;австрийка;беспокоиться;двадцать;вся;благодарно;арабский
австриец;NOUN;Nationality;Австрия;бить;двенадцать;всякая;благополучно;африканский
австрийка;NOUN;Nationality;автобус;благодарить;двести;всякие;близко;баскский
Австрия;NOUN;Countries;автомобиль;болеть;двойка;всякий;богато;бедный
автобус;NOUN;Transport;автостоп;болтать;девяносто;всякое;бодро;бездомный
автомобиль;NOUN;Transport;агроном;бороться;девятнадцать;вы;более;безопасный
автостоп;NOUN;;адвокат;бояться;девятый;другая;больно;безработный
агроном;NOUN;Occupation;администратор;брать;девять;другие;больше;безразличный
агрономический;ADJ;;адрес;бриться;девятьсот;другое;босиком;белорусский
адвокат;NOUN;Occupation;азбука;бродить;десятый;другой;быстро;белый
администратор;NOUN;Occupation;Азия;бросить;десять;его;важно;биологический
адрес;NOUN;;акварель;бывать;ноль;её;вблизи;благодарный
азбука;NOUN;;акт;быть;один;иная;вбок;благополучный
азиатский;ADJ;;актёр;венчаться;одиннадцать;иное;вверх;благотоворительный
Азия;NOUN;;актриса;верить;первый;иной;вглубь;блестящий
акварель;NOUN;;акула;вернуть;полтора;иные;вдалеке;близкий
аккуратно;ADV;;акцент;вернуться;пятёрка;их;вдаль;богатый
аккуратный;ADJ;;акция;вести;пятнадцать;каждая;вдвоем;бодрый
акт;NOUN;;Алжир;взглянуть;пятый;каждое;вдвойне;больной
актёр;NOUN;Occupation;алжирец;вздохнуть;пять;каждые;вдоль;большой
активный;ADJ;;алжирка;взлетать;пятьдесят;каждый;вдруг;бородатый
актриса;NOUN;Occupation;аллергия;взрослеть;пятьсот;какая;вежливо;британский
актуально;ADV;;алфавит;взять;седьмой;какие;везде;буддийский
акула;NOUN;Animals;альтернатива;видеть;семнадцать;каков;верно;быстрый
акцент;NOUN;;Америка;видеться;семь;какова;вероятно;важный
акция;NOUN;;американец;висеть;семьдесят;каково;весело;ванильный
Алжир;NOUN;Countries;американка;вкладывать;семьсот;каковы;весной;вежливый
алжирец;NOUN;Nationality;Амстердам;включать;сорок;какое;ветренно;великий
алжирка;NOUN;Nationality;амфитеатр;включаться;сто;какой;вечером;веселый
аллергия;NOUN;;ананас;включить;третий;которая;видно;ветреный
алфавит;NOUN;;ангина;влиять;три;которое;вкусно;вечный
альтернатива;NOUN;;англичанин;вмешиваться;тридцать;которые;влево;взрослый
Америка;NOUN;;англичанка;вовлекать;тринадцать;который;вместе;вкусный
американец;NOUN;Nationality;Англия;водить;триста;кто;вместо;внешний
американка;NOUN;Nationality;Андорра;воевать;тройка;любая;вначале;внутренний
американский;ADJ;;анекдот;возвращать;тысяча;любое;вниз;водительский
Амстердам;NOUN;;анкета;возвращаться;четвёрка;любой;внизу;военнопленный
амфитеатр;NOUN;;ансамбль;возглавлять;четвёртый;любые;внимательно;возбужденный
анализировать;VERB;;антракт;возникать;четыре;моё;вновь;возобновляемый
ананас;NOUN;Fruits;апельсин;возникнуть;четыреста;мои;внутри;волосатый
ангина;NOUN;;апрель;войти;четырнадцать;мой;внутрь;волшебный
английский;ADJ;;аптека;волноваться;шестнадцать;моя;вовремя;вооруженный
англичанин;NOUN;Nationality;араб;воровать;шестой;мы;возле;вопросительный
англичанка;NOUN;Nationality;арабка;воспитывать;шесть;наш;возможно;восклицательный
Англия;NOUN;Countries;арбуз;воспользоваться;шестьдесят;наша;вокруг;воспитанный
Андорра;NOUN;Countries;Аргентина;восстанавливаться;шестьсот;наше;вообще;враждебный
анекдот;NOUN;;аргентинец;вставать;;наши;воровски;всенародный
анкета;NOUN;;аргентинка;встать;;некого;впервые;вступительный
ансамбль;NOUN;;аренда;встретить;;некто;вперед;вызывающий
антракт;NOUN;;артист;встретиться;;нечего;впереди;вымерший
апельсин;NOUN;Fruits;артистка;встречать;;нечто;вполне;вынужденный
аполитично;ADV;;археолог;встречаться;;никакая;вправо;высокий
апрель;NOUN;;архитектор;вступать;;никакие;впустую;вычислительный
аптека;NOUN;;ассистент;входить;;никакое;временно;газетный
араб;NOUN;Nationality;ассистентка;выбирать;;никакой;врозь;гармоничный
арабка;NOUN;Nationality;атаман;выбрать;;никто;всегда;главный
арабский;ADJ;;атлет;выглядеть;;нисколько;вслед;глазной
арбуз;NOUN;Fruits;аттестат;выгнать;;ничей;вслух;глубокий
Аргентина;NOUN;Countries;аттракцион;выдавать;;ничто;втроем;глупый
аргентинец;NOUN;Nationality;Афины;выдвинуть;;ничьё;вчера;голландский
аргентинка;NOUN;Nationality;Африка;выделять;;ничьи;вчетвером;головной
аренда;NOUN;;аэропорт;вызвать;;ничья;выгодно;голодный
артист;NOUN;Occupation;бабочка;вызывать;;он;высоко;голубой
артистка;NOUN;Occupation;бабушка;выиграть;;она;выше;горячий
археолог;NOUN;Occupation;багаж;выигрывать;;они;где;гостеприимный
архитектор;NOUN;Occupation;бадминтон;выйти;;оно;гладко;готовый
ассистент;NOUN;Occupation;баклажан;выключать;;сам;глубоко;громкий
ассистентка;NOUN;Occupation;бал;выключить;;сама;глупо;грустный
атаман;NOUN;;балалайка;вымирать;;самая;глухо;грязный
атлет;NOUN;Sport;балерина;вынимать;;сами;гневно;далекий
аттестат;NOUN;;балет;вынуть;;само;гораздо;двойной
аттракцион;NOUN;;балкон;выпить;;самое;гордо;двоюродный
Афины;NOUN;;банан;выплатить;;самые;горько;деловой
Африка;NOUN;;Бангкок;выплачивать;;самый;горячо;деревянный
африканский;ADJ;;банк;выполнить;;своё;грамотно;детский
аэропорт;NOUN;;банка;выполнять;;свои;грозно;дешёвый
бабочка;NOUN;Animals;банкир;выражать;;свой;громко;дикий
бабушка;NOUN;Family;банкомат;вырастить;;своя;грубо;длинный
багаж;NOUN;;барабан;выращивать;;себя;грустно;доброжелательный
бадминтон;NOUN;Sport;баран;вырезать;;та;густо;добрый
баклажан;NOUN;Vegetables;бармен;выселять;;такая;давно;довольный
бал;NOUN;;Барселона;выскочить;;такие;далее;дополнительный
балалайка;NOUN;;барсук;выступать;;такое;далеко;дорогой
балерина;NOUN;Occupation;баскетбол;выступить;;такой;даром;доступный
